ID,Text,
199_UK_DocF_V1_Ventilation,"If the total flow rate cannot be achieved through all the terminals, then the fan speed should be increased.",
200_UK_DocF_V1_Ventilation,"If all the terminals have to be set to a significantly closed position to achieve the required air flow rate, then the fan speed should be reduced and the terminals rebalanced.",
201_UK_DocF_V1_Ventilation,The fan should be set at a speed that will approximately achieve the desired continuous flow rate.,
202_UK_DocF_V1_Ventilation,The index terminal flow rate should be set with the terminal fully open and all other terminals should be adjusted to achieve the required flows at each terminal.,
203_UK_DocF_V1_Ventilation,"If the index terminal has to be set to a significantly closed position to achieve the required air flow rate, then the fan speed should be reduced and the terminals rebalanced.",
205_UK_DocF_V1_Ventilation,The fan speed should be set to achieve the desired continuous flow rate.,
206_UK_DocF_V1_Ventilation,The index terminal flow rate should be set with the terminal fully open and all other terminals should be adjusted to achieve the required flow rates at each terminal.,
208_UK_DocF_V1_Ventilation,"For fixed terminals with automatic flow adjustment at the fan unit, the fan speed should be set to achieve the desired continuous flow rate.",
210_UK_DocF_V1_Ventilation,4.9  The air flow rate of all mechanical ventilation fans should be tested.,
218_UK_DocF_V1_Ventilation,The correct operation of each control function should be tested where it is practical.,
220_UK_DocF_V1_Ventilation,controls should be inspected to ensure that the following have been achieved.,
228_UK_DocF_V1_Ventilation,That background ventilators allow fresh air into the home and should be left open.,
243_UK_DocF_V1_Ventilation,Purge ventilation may be provided by natural means (e.g. an openable window) or mechanical means (e.g. a fan).,
262_UK_DocF_V1_Ventilation,All three parts of the installation and commissioning checklist should be completed.,
264_UK_DocF_V1_Ventilation,The three-part form should be completed for each installation address.,
265_UK_DocF_V1_Ventilation,"A copy should be submitted to the building control body as evidence that the system has been correctly installed, inspected and commissioned.",
4_UK_DocF_V2_Ventilation,"For emergency repairs, if it is not possible to notify the building control body in advance, the building control body should be notified as soon as possible.",
7_UK_DocF_V2_Ventilation,A unit that contains both living accommodation and space for commercial purposes (e.g. for a workshop or office) should be treated as a dwelling if the commercial part can be reverted to domestic use.,
11_UK_DocF_V2_Ventilation,Combustion appliances must operate safely whether or not fans are running.,
15_UK_DocF_V2_Ventilation,There shall be adequate means of ventilation provided for people in the building.,
21_UK_DocF_V2_Ventilation,"Mechanical ventilation systems, including both continuous and intermittent mechanical ventilation, should be designed and installed to minimise noise.",
23_UK_DocF_V2_Ventilation,"For mechanical ventilation systems, fan units should be appropriately sized so that fans operating in normal background ventilation mode are not overly noisy, taking into consideration the use and likely background level of noise from other sources.",
30_UK_DocF_V2_Ventilation,Rigid ducts should be used wherever possible.,
31_UK_DocF_V2_Ventilation,"Where necessary, flexible ducts may be used for final connections, but their lengths should be kept to a minimum.",
33_UK_DocF_V2_Ventilation,Duct connections should be both mechanically secured and adequately sealed to prevent leaks.,
34_UK_DocF_V2_Ventilation,Rigid connectors and jubilee clips should be used for flexible ducting to ensure a good seal.,
35_UK_DocF_V2_Ventilation,Mechanical ventilation systems must be commissioned in accordance with an approved procedure.,
44_UK_DocF_V2_Ventilation,NOTE: Rooms that are designed to contain printers and photocopiers in substantial use (more than 30 minutes per hour) should not be designed to be occupied.,
46_UK_DocF_V2_Ventilation,The air extract rate should be 20 litres per second per machine during use.,
47_UK_DocF_V2_Ventilation,The whole building ventilation rate should be met.,
48_UK_DocF_V2_Ventilation,Extract ventilators in sanitary accommodation should be capable of continuous operation if required.,
50_UK_DocF_V2_Ventilation,"Where used, passive stack ventilation terminals should be located in the ceiling.",
56_UK_DocF_V2_Ventilation,"Each office should have the means to provide purge ventilation, to reduce pollutants before the office space is occupied or after activities such as painting.",
58_UK_DocF_V2_Ventilation,Controls should be provided for ventilators so that the ventilation in each room can be adjusted.,
60_UK_DocF_V2_Ventilation,"Ventilation systems that, under normal operation, recirculate air between more than one space, room or zone should also be able to operate in a mode that reduces the risk of the transmission of airborne infection.",
62_UK_DocF_V2_Ventilation,"For car parks below ground level, enclosed car parks and multistorey car parks, the ventilation rate should be designed, and equipment installed, to limit carbon monoxide to both of the following: a. natural ventilation by appropriately located ventilation opening(s) with a total opening area of at least 1/50 of the floor area of the common space; b. mechanical ventilation installed to provide a supply of fresh air of 0.5 litres per second per m2 of floor area.",
66_UK_DocF_V2_Ventilation,Extract ventilators in sanitary accommodation should be capable of continuous operation if required.,
72_UK_DocF_V2_Ventilation,Ventilation intakes should be located away from the direct impact of the sources of local pollution.,
78_UK_DocF_V2_Ventilation,"Where there is a prevailing wind direction, exhaust outlets should be downwind of intakes.",
79_UK_DocF_V2_Ventilation,NOTE: Ventilation through infiltration should be considered to be part of the ventilation provision of a building.,
85_UK_DocF_V2_Ventilation,"NOTE: If an exposed facade is close to an area of sustained and loud noise (e.g. a main road), then a noise attenuating background ventilator should be fitted.",
93_UK_DocF_V2_Ventilation,Mechanical ventilation systems must be commissioned to provide adequate ventilation.,
94_UK_DocF_V2_Ventilation,commissioning notice must be given to the building control body.,
98_UK_DocF_V2_Ventilation,"For new and existing buildings other than dwellings, information should be provided in a new or existing building log book.",
99_UK_DocF_V2_Ventilation,A copy of the completed commissioning sheet should be given to the owner of the building.,
102_UK_DocF_V2_Ventilation,That background ventilators allow fresh air into the building and should be left open.,
105_UK_DocF_V2_Ventilation,Extract ventilation may be by natural means or by mechanical means (e.g. by an extract fan or acentral system).,
108_UK_DocF_V2_Ventilation,Purge ventilation may be provided by natural means (e.g. an openable window) ormechanical means (e.g. a fan).,
114_UK_DocF_V2_Ventilation,"There should be a supply rate, in the absence of tobacco smoke or other excessive pollutants, of 10 litres per second per person.",
115_UK_DocF_V2_Ventilation,There should be no visible mould on the inner surfaces of external walls of a properly heated building with typical moisture generation.,
118_UK_DocF_V2_Ventilation,Public Health Englands Indoor Air Quality Guidelines for Selected Volatile Organic Compounds (VOCs) in the UK should be used.,
123_UK_DocF_V2_Ventilation,Monitors should therefore be positioned at least 500mm away from room occupants.,
124_UK_DocF_V2_Ventilation,"Instantaneous or snapshot CO2 readings can be misleading, so several measurements should be taken throughout the day.",
125_UK_DocF_V2_Ventilation,The frequency of measurements should be sufficient to ensure that changes in the use of the room or space throughout the day are represented in the readings.,
126_UK_DocF_V2_Ventilation,"How the measurements can help you take action CO2 measurements should be used as a broad guide to ventilation within a space, rather than treated as safe thresholds.",
14_UK_DocK_ProtectionFromFalling,"Stairs, ladders and ramps shall be so designed, constructed and installed as to be safe for people moving between different levels in or about the building.",
18_UK_DocK_ProtectionFromFalling,"For dwellings, for external tapered steps and stairs that are part of the building the going of each step should be a minimum of 280mm.",
19_UK_DocK_ProtectionFromFalling,The normal relationship between the dimensions of the rise and going is: twice the rise plus the going (2R G) equals between 550mm and 700mm.,
8_UK_DocK_ProtectionFromFalling,"Gangways should not be less than 1100mm wide unless used by not more than 50 persons, in which case gangways should be a minimum of 900mm.",
25_UK_DocK_ProtectionFromFalling,"In a tier that is uninterrupted by cross-gangways, and where the pitch exceeds 25, use a maximum number of steps of 40.",
28_UK_DocK_ProtectionFromFalling,"For buildings other than dwellings and for common access areas in buildings that contain flats, Provide all means of escape routes with a minimum clear headroom of 2m, except in doorways.",
50_UK_DocK_ProtectionFromFalling,"Where there is full-height structural guarding, if you provide a second (lower) handrail, the vertical height from the pitch line of the steps (or the surface of the ramp) to the top of the second (lower) handrail should be 600mm.",
54_UK_DocK_ProtectionFromFalling,NOTE: A floor level with a gradient of 1:20 or steeper should be designed as a ramp.,
66_UK_DocK_ProtectionFromFalling,Length of landings to be at least equal to the width of the ramp.,
74_UK_DocK_ProtectionFromFalling,"(a) any light well, basement area or similar sunken (b) any light well, basement area or similar sunken area connected to a building, shall be provided with barriers where it is necessary to protect people in or about the building from falling.",
92_UK_DocK_ProtectionFromFalling,"Glazing, with which people are likely to come into contact whilst moving in or about the building shall: (a) if broken on impact, break in a way which is unlikely to cause injury; or (b) resist impact without breaking; or (c) be shielded or protected from impact.",
98_UK_DocK_ProtectionFromFalling,"Provision shall be made to prevent people moving in or about the building from colliding with open windows, skylights or ventilators.",
107_UK_DocK_ProtectionFromFalling,"Windows, skylights and ventilators which can be opened by people in or about the building shall be so constructed or equipped that they may be opened, closed or adjusted safely.",
109_UK_DocK_ProtectionFromFalling,"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.",
112_UK_DocK_ProtectionFromFalling,Special safety features are not necessary if the ladder is not more than 6m long.,
114_UK_DocK_ProtectionFromFalling,"Provision shall be made to prevent any door or gate: (a) which slides or opens upwards, from falling onto any person; and (b) which is powered, from trapping any person.",
115_UK_DocK_ProtectionFromFalling,Provision shall be made for powered doors and gates to be opened in the event of a power failure.,
116_UK_DocK_ProtectionFromFalling,Provision shall be made to ensure a clear view of the space on either side of a swing door or gate.,
120_UK_DocK_ProtectionFromFalling,"For sliding doors and gates, provide both of the following: (i) a stop or other effective means to prevent them coming off the end of the track; (ii) a retaining rail to prevent doors and gates falling if the suspension system fails or the rollers leave the track.",
13_UK_DocL_V1_ConsrvationOfFuelAndPower,The floor area of the extension does not exceed 30m2.,
16_UK_DocL_V1_ConsrvationOfFuelAndPower,The floor area of the extension does not exceed 30m2.,
18_UK_DocL_V1_ConsrvationOfFuelAndPower,What constitutes a substantial proportion should be assessed on a case-by-case basis by the building control body.,
20_UK_DocL_V1_ConsrvationOfFuelAndPower,"Manual controls, where provided, should be within reasonable reach of the occupants.",
27_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where a building is erected, it must be a nearly zero-energy building.",
44_UK_DocL_V1_ConsrvationOfFuelAndPower,"Both before and after a newly constructed dwelling is built, a notice must be given to the building control body of the calculations.",
46_UK_DocL_V1_ConsrvationOfFuelAndPower,A new dwelling must be built to a minimum standard of total energy performance.,
50_UK_DocL_V1_ConsrvationOfFuelAndPower,"For a building that contains more than one dwelling for example a block of flats or a terrace of houses an average target primary energy rate, target emission rate and target fabric energy efficiency rate may be calculated as an alternative to individual target rates for each dwelling.",
56_UK_DocL_V1_ConsrvationOfFuelAndPower,"The same approved calculation tool must be used to calculate the target primary energy rate, target emission rate and target fabric energy efficiency rate and the dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate.",
64_UK_DocL_V1_ConsrvationOfFuelAndPower,The dwelling primary energy rate must not exceed the individual dwellings target primary energy rate.,
65_UK_DocL_V1_ConsrvationOfFuelAndPower,The dwelling emission rate must not exceed the individual dwellings target emission rate.,
66_UK_DocL_V1_ConsrvationOfFuelAndPower,The dwelling fabric energy efficiency rate must not exceed the individual dwellings target fabric energy efficiency rate.,
70_UK_DocL_V1_ConsrvationOfFuelAndPower,"The average dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated using the same averaging methodology.",
73_UK_DocL_V1_ConsrvationOfFuelAndPower,The efficiency of the secondary heating appliance with its appropriate fuel should be used in the calculation of the dwelling primary energy rate and dwelling emission rate.,
76_UK_DocL_V1_ConsrvationOfFuelAndPower,"If thermal energy is supplied from a district heat network, a CO2 emission factor and primary energy factor for the heat delivered to the dwelling by the district heat network should be calculated.",
79_UK_DocL_V1_ConsrvationOfFuelAndPower,The annual percentage of heat supplied from each heat source should be the same for each newly connected dwelling.,
83_UK_DocL_V1_ConsrvationOfFuelAndPower,A new district heat network should be taken as meaning any other district heat network.,
84_UK_DocL_V1_ConsrvationOfFuelAndPower,"Instead, the dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated as if the area covered by the pool were replaced with the equivalent area of floor with the same U-value as the pool surround.",
98_UK_DocL_V1_ConsrvationOfFuelAndPower,"When a dwelling undergoes a major renovation, the technical, environmental and economic feasibility of installing high-efficiency alternative systems should be considered.",
104_UK_DocL_V1_ConsrvationOfFuelAndPower,"U-values should be assessed for the whole fabric element (e.g. in the case of a window, the combined performance of the glazing and the frame).",
108_UK_DocL_V1_ConsrvationOfFuelAndPower,"NOTE: When a single U-value is calculated for a product range of doors, the configuration of the door chosen for the calculation should be the worst performing in the product range.",
109_UK_DocL_V1_ConsrvationOfFuelAndPower,"To correctly assess whether an element meets the limiting U-value, the U-value must be calculated for the element in the appropriate plane - either horizontal or vertical.",
110_UK_DocL_V1_ConsrvationOfFuelAndPower,"For windows and roof windows, U-values should be calculated based on a vertical position.",
111_UK_DocL_V1_ConsrvationOfFuelAndPower,"For roof-lights, U-values should be calculated based on a horizontal position.",
113_UK_DocL_V1_ConsrvationOfFuelAndPower,"If performance requires thicker glass to be used, an equivalent window unit with standard thickness (6mm) glazing should be shown to meet the required standard.",
114_UK_DocL_V1_ConsrvationOfFuelAndPower,"U-values for rooflights or rooflight-and-kerb assemblies should be based on the developed surface area of the rooflight (U-values), which is often greater than the area of the roof opening.",
115_UK_DocL_V1_ConsrvationOfFuelAndPower,An upstand built on site should not exceed a U-value of 0.35W/(m2K).,
118_UK_DocL_V1_ConsrvationOfFuelAndPower,These fittings should not exceed a centre pane U-value of 1.2W/(m2K).,
119_UK_DocL_V1_ConsrvationOfFuelAndPower,Single glazing should be supplemented with low-emissivity secondary glazing.,
121_UK_DocL_V1_ConsrvationOfFuelAndPower,"wind load, safety, security or acoustic attenuation) requires thicker glass to be used, an equivalent window unit with standard thickness (6mm) glazing should be shown to meet the required standard.",
122_UK_DocL_V1_ConsrvationOfFuelAndPower,"U-values for rooflights or rooflight-and-kerb assemblies should be based on the outer developed surface area, which  is often greater than the area of the roof opening.",
125_UK_DocL_V1_ConsrvationOfFuelAndPower,"Generally, a thermal element once upgraded should not have a U-value greater than 0.7W/(m2K).",
128_UK_DocL_V1_ConsrvationOfFuelAndPower,The depth of the insulation plus any required air gap should be at least to the depth of the rafters.,
129_UK_DocL_V1_ConsrvationOfFuelAndPower,The insulant should be chosen to achieve the lowest practicable U-value.,
132_UK_DocL_V1_ConsrvationOfFuelAndPower,The building fabric should be constructed so that the insulation is reasonably continuous across newly built elements.,
133_UK_DocL_V1_ConsrvationOfFuelAndPower,"Before elements are concealed by subsequent work, an onsite audit should be undertaken to confirm that the designed details have been constructed.",
148_UK_DocL_V1_ConsrvationOfFuelAndPower,"Floors and foundations: insulation should be installed tight to the structure, without air gaps between insulation panels and at edges.",
135_UK_DocL_V1_ConsrvationOfFuelAndPower,Perimeter insulation should be continuous and have a minimum thickness of 25mm.,
136_UK_DocL_V1_ConsrvationOfFuelAndPower,Moisture-resistant insulation should be fitted below damp-proof course level and extend to the foundation block/structure.,
137_UK_DocL_V1_ConsrvationOfFuelAndPower,Windows and doors: should be installed in such a way that the thermal integrity of the insulated plane is maintained.,
139_UK_DocL_V1_ConsrvationOfFuelAndPower,"Position: window or door units should be located with an overlap between the inner face of the unit and the inner face of the external leaf  for windows an overlap between 30mm and 50mm, and for doors 50mm so that the window or door unit is contiguous with the insulation layer of the external wall.",
140_UK_DocL_V1_ConsrvationOfFuelAndPower,"Fully insulated and continuous cavity closers should be used, installed tight to the insulation and cavity apertures.",
141_UK_DocL_V1_ConsrvationOfFuelAndPower,"Walls: insulation should be fitted without any air gaps and tight to the structure, cavity closers, lintels and cavity trays.",
142_UK_DocL_V1_ConsrvationOfFuelAndPower,Mortar snots should be removed to ensure a tight fit with the structure and cavities cleared of all debris.,
143_UK_DocL_V1_ConsrvationOfFuelAndPower,"Roofs: insulation should be installed tight to the structure, without air gaps, and should extend to the wall insulation.",
144_UK_DocL_V1_ConsrvationOfFuelAndPower,"For roofs insulated at ceiling level, the long-term protection of the insulation layer should be considered: boarded areas should be provided above the insulation to give access for maintenance.",
145_UK_DocL_V1_ConsrvationOfFuelAndPower,Boards should be fitted to the structure to avoid any gaps between board edges and between the board facings.,
146_UK_DocL_V1_ConsrvationOfFuelAndPower,The use of boards with lapped or tongue and groove edges should be considered.,
147_UK_DocL_V1_ConsrvationOfFuelAndPower,Any unavoidable gaps between boards should be infilled using compressible tape (e.g. for boards within roof rafters) or low expansion foam (e.g. for boards within wall cavities).,
150_UK_DocL_V1_ConsrvationOfFuelAndPower,Designs should clearly indicate means to limit disruption to the insulation.,
151_UK_DocL_V1_ConsrvationOfFuelAndPower,"For recessed meter boxes on the cold side of the construction, insulation should be installed behind the enclosure.",
152_UK_DocL_V1_ConsrvationOfFuelAndPower,"The building fabric should be constructed so that thermal bridging, including at the party wall, is reasonably limited.",
153_UK_DocL_V1_ConsrvationOfFuelAndPower,Drawings should be provided for junctions.,
154_UK_DocL_V1_ConsrvationOfFuelAndPower,Complex details should be avoided wherever possible.,
155_UK_DocL_V1_ConsrvationOfFuelAndPower,"Before elements are concealed by subsequent work, an onsite audit should be undertaken to confirm that the designed details have been constructed.",
159_UK_DocL_V1_ConsrvationOfFuelAndPower,"Foundations: wherever possible, blocks below the damp-proof course should be the same as those specified in the design for the above-ground main wall element (in masonry construction).",
160_UK_DocL_V1_ConsrvationOfFuelAndPower,Ground floors and external walls: the wall-to-floor junctions should be detailed to achieve continuity of insulation.,
161_UK_DocL_V1_ConsrvationOfFuelAndPower,Masonry construction: external or cavity wall insulation should extend below the damp-proof course (where applicable) and be at least the equivalent of one full block height (215mm) below the underside of the floor structure/slab and beyond the depth of the floor insulation.,
162_UK_DocL_V1_ConsrvationOfFuelAndPower,Intermediate floors: floor-to-wall junctions should be detailed to ensure that insulation in the external wall is continuous.,
163_UK_DocL_V1_ConsrvationOfFuelAndPower,"For a timber frame where the intermediate floor structure breaches the external wall insulation, further insulation  of the same thickness as the insulation used in the external wall should be included within the depth of the intermediate floor structure.",
164_UK_DocL_V1_ConsrvationOfFuelAndPower,"For common leaf lintels, the base plate should not be continuous and the lintel core should be insulated.",
165_UK_DocL_V1_ConsrvationOfFuelAndPower,Insulated cavity closers should be used for all construction types.,
166_UK_DocL_V1_ConsrvationOfFuelAndPower,"Additionally, insulated plaster-board should be used in reveals to abut jambs and should be considered within reveal soffits.",
167_UK_DocL_V1_ConsrvationOfFuelAndPower,"Wall insulation should be installed to the top of the wall plate; in some places, such as the eaves, this may be above the cavity closure or barrier.",
168_UK_DocL_V1_ConsrvationOfFuelAndPower,"In all cases, roof insulation should be continuous with wall insulation.",
169_UK_DocL_V1_ConsrvationOfFuelAndPower,The roof insulation should be installed when the eaves are still accessible.,
170_UK_DocL_V1_ConsrvationOfFuelAndPower,"At gables and party walls, insulation should extend to the wall; if the space between the wall and joist is less than 100mm, perimeter insulation may be required.",
171_UK_DocL_V1_ConsrvationOfFuelAndPower,Voids between insulation at the top of the external wall and the cavity wall/timber frame insulation should be fully filled with insulation.,
176_UK_DocL_V1_ConsrvationOfFuelAndPower,"Drawings: all relevant drawings should be provided to clearly identify the position, continuity and extent of the air barrier.",
177_UK_DocL_V1_ConsrvationOfFuelAndPower,Drawings should be reviewed by the designer and installer and should include specifications for key materials.,
178_UK_DocL_V1_ConsrvationOfFuelAndPower,"Incoming services: ducts, and cables wherever possible, should be grouped to minimise how often the air barrier is penetrated, while ensuring sufficient space to allow adequate screed flow between ducts.",
179_UK_DocL_V1_ConsrvationOfFuelAndPower,Grommets or flexible collars should be used around incoming services and sealed to the air barrier with air-sealing tape or sealant.,
180_UK_DocL_V1_ConsrvationOfFuelAndPower,"Internal building services: where services penetrate the air barrier, holes should be as small as possible and should be core drilled to limit damage.",
181_UK_DocL_V1_ConsrvationOfFuelAndPower,The penetrating services should be sealed to the air barrier using proprietary grommets or collars with air-sealing tape or sealant.,
182_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where membranes are penetrated, careful detailing should be used to achieve a robust and durable seal at these penetrations.",
184_UK_DocL_V1_ConsrvationOfFuelAndPower,Cavity walls: the inner block leaf mortar joint should be fully filled and pointed within the cavity.,
185_UK_DocL_V1_ConsrvationOfFuelAndPower,"Any damage, such as tears, should be repaired before boarding.",
186_UK_DocL_V1_ConsrvationOfFuelAndPower,"Where sheathing board forms the air barrier, airsealing tape should be applied at junctions and edges.",
187_UK_DocL_V1_ConsrvationOfFuelAndPower,Fixings: care should be taken to ensure that fixings do not damage the airtightness barrier.,
188_UK_DocL_V1_ConsrvationOfFuelAndPower,"Windows and doors: to ensure continuity of the air barrier, window and door units should connect to the primary air barrier and window and door frames should be taped to surrounding structural openings, using air sealing tape.",
189_UK_DocL_V1_ConsrvationOfFuelAndPower,"Loft hatches: where the roof is insulated at ceiling level, hatches should be suitably designed and installed to ensure optimum airtightness.",
191_UK_DocL_V1_ConsrvationOfFuelAndPower,The space between the air barrier and the insulation layer should be filled with solid material.,
