Text,is_rule,ID,source,base,n_tokens,n_chars,n_deontic,n_quantitative,n_coref,n_ext_ref,has_shall,has_must,has_should,has_may,starts_capital,ends_period,n_commas,n_semicolons,n_numbers
"(2)   Not later than the day before the work starts, the person carrying out the work shall give the local authority a notice which specifies(a)   the target CO2 emission rate for the building, calculated and expressed in accordance with the methodology approved pursuant to regulation 24,(b)   the CO2 emission rate for the building as designed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24, and(c)  a list of specifications to which the building is to be constructed.",0,32_UK_DocL_V1_ConsrvationOfFuelAndPower | 36_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,84,519,1,0,0,0,1,0,0,0,0,1,5,0,3
"(2)   Subject to paragraph (3), where this paragraph applies, such work, if any, shall be carried out as is necessary to ensure that the building complies with the requirements of Part L of Schedule 1.",0,449_UK_DocM_V2_AccessAndUseOfBuildings | 455_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,35,201,1,0,2,2,1,0,0,0,0,1,4,0,3
"(2)   The person carrying out the work must, not later than five days after the work has been completed, give sufficient information to the owner about the provision made in accordance with Part O so that the systems in place further to Part O can be operated in such a manner as to protect against overheating.",0,88_UK_DocO_Overheating,accord_official,ACCORD Official,56,311,1,0,1,0,0,1,0,0,0,1,2,0,1
"(2)   The person carrying out the work must, not later than five days after the work has been completed, provide to the owner sufficient information about the system for onsite electricity generation in respect of its operation and maintenance requirements so that the system may be operated and maintained in such a manner as to produce the maximum electricity that is reasonable in the circumstances and delivers this electricity to the optimal place for use.",0,398_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,75,461,2,1,2,0,0,1,0,1,0,1,2,0,1
"(2)   The person carrying out the work must, not later than five days after the work has been completed, provide to the owner sufficient information about the system for onsite electricity generation in respect to its operation and maintenance requirements so that the system may be operated and maintained in such a manner as to produce the maximum electricity that is reasonable in the circumstances and delivers this electricity to the optimal place for use.",0,390_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,75,461,2,1,2,0,0,1,0,1,0,1,2,0,1
(2)   The person carrying out the work shall not later than five days after the work has been completed give sufficient information to the owner about the buildings ventilation system and its maintenance requirements so that the ventilation system can be operated in such a manner as to provide adequate means of ventilation.,0,172_UK_DocF_V1_Ventilation | 88_UK_DocF_V2_Ventilation,accord_official,ACCORD Official,53,325,2,0,1,0,1,0,0,0,0,1,0,0,1
"(2)   The person carrying out the work shall not later than five days after the work has been completed provide to the owner sufficient information about the building, the fixed building services and their maintenance requirements so that the building can be operated in such a manner as to use no more fuel and power than is reasonable in the circumstances.",0,389_UK_DocM_V2_AccessAndUseOfBuildings | 397_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,61,358,2,0,1,0,1,0,0,0,0,1,1,0,1
"(2)   The person carrying out the work shall, for the purpose of ensuring compliance with paragraph F1(1) of Schedule 1(a)   ensure that testing of the mechanical ventilation air flow rate is carried out in accordance with a procedure approved by the Secretary of State; and(b)   give notice of the results of the testing to the local authority.",0,173_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,60,345,1,0,0,2,1,0,0,0,0,1,1,1,3
"(2)   The requirements of paragraph S6 of Schedule 1 apply if, upon completion, such a mixeduse building will have at least one parking space situated within the site boundary of the building.",0,92_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,32,192,0,1,1,2,0,0,0,0,0,1,2,0,2
"(2)   Where the whole or any part of an individual thermal element is proposed to be replaced and the replacement(a)  constitutes a major renovation; or(b)   (in the case of part replacement) amounts to the replacement of more than 50 of the thermal elements surface area; the whole of the thermal element must be replaced so as to ensure that it complies with paragraph L1(a)(i) of Schedule 1, in so far as that is technically, functionally and economically feasible.",0,402_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,82,468,1,0,1,2,0,1,0,0,0,1,2,2,3
"(2)   Where there is a material change of use of part only of a building, such work, if any, shall be carried out as is necessary to ensure that(a)   that part complies in all cases with any applicable requirements referred to in paragraph (1)(a);(b)   in a case in which subparagraphs (b), (e), (f), (g) or (h) of paragraph (1) apply, that part complies with the requirements referred to in the relevant subparagraph;(c)   in a case to which subparagraph (c) of paragraph (1) applies, the whole building complies with the requirement referred to in that subparagraph; (d)  in a case to which subparagraph (i) of paragraph (1) applies(i)   that part and any sanitary conveniences provided in or in connection with that part comply with the requirements referred to in that subparagraph; and(ii)   the building complies with requirement M1(a) of Schedule 1 to the extent that reasonable provision is made to provide either suitable independent access to that part or suitable access through the building to that part;(e)   in a case to which subparagraph (j) applies in respect of a material change of use described in regulation 5(b) or (g), that part complies with the requirement referred to in that subparagraph.",0,434_UK_DocM_V2_AccessAndUseOfBuildings | 440_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,208,1215,1,0,1,3,1,0,0,0,0,1,9,5,7
"(2)   Where this regulation applies the person carrying out the work must, for the purpose of ensuring compliance with paragraph L2 of Schedule 1, give to the local authority a notice confirming that the system for onsite electricity generation has been commissioned.",0,364_UK_DocL_V1_ConsrvationOfFuelAndPower | 365_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,42,267,1,0,1,2,0,1,0,0,0,1,2,0,2
"(2)   Where this regulation applies, the person carrying out the work shall, for the purpose of ensuring compliance with regulation 26 and regulation 26A and paragraph L1(a)(i) of Schedule 1 (a)  ensure that (i)   pressure testing is carried out in such circumstances as are approved by the Secretary of State; and (ii)   the testing is carried out in accordance with a procedure approved by the Secretary of State; and (b)   subject to paragraph (5), give notice of the results of the testing to the local authority.",0,338_UK_DocM_V2_AccessAndUseOfBuildings | 347_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,88,517,1,0,2,2,1,0,0,0,0,1,3,2,4
"(2)  If such a new building has, or will have, within its site boundary, more than 10 parking spaces(a)  if there are or will be any parking spaces situated in a position Others than in a covered car park the requirements of paragraph S4 of Schedule 1 must first be applied in relation to those parking spaces; then(ii)   if the number of parking spaces which are situated in a position Others than in a covered car park is insufficient to completely fulfil the requirements of paragraph S4 of Schedule 1, cable routes for electric vehicle charge points must be installed in a sufficient number of parking spaces in the covered car park in order to ensure compliance with the requirements of paragraph S4(b) of Schedule 1;(b)   if all the parking spaces are situated in a covered car park, cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of those parking spaces.",0,62_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,166,926,1,1,2,2,0,1,0,0,0,1,5,2,5
(2)  In this regulation asset rating means an energy performance indicator determined from the amount of energy estimated to meet the different needs associated with a standardised use of the building; and operational rating means an energy performance indicator determined from the amount of energy consumed during the occupation of a building over a period of time and the energy demand associated with a typical use of the building over that period.,0,24_UK_DocL_V1_ConsrvationOfFuelAndPower | 30_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,72,452,0,0,1,0,0,0,0,0,0,1,0,1,1
"(2)  The person carrying out the work must(a)   not later than the beginning of the day before the day on which the work starts, give the local authority a notice which states that the analysis referred to in paragraph (1)(i)  has been undertaken;(ii)  is documented; and(iii) the documentation is available to the authority for verification purposes; and(b)   ensure that a copy of the analysis is available for inspection at all reasonable times upon request by an officer of the local authority.",0,109_UK_DocM_V2_AccessAndUseOfBuildings | 88_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,86,498,1,0,0,1,0,1,0,0,0,1,1,3,2
"(2)  The requirements of paragraph S3 of Schedule 1 apply if(a)   the major renovation involves building work being done which includes work being done to any of the following a car park that is located within the site boundary of the building, where the nature of the work is such that it would be reasonable to expect that work to include enabling the requirements of paragraph S3 of Schedule 1 to be fulfilled;(ii)   the electrical infrastructure of a car park, where the car park is located within the site boundary of the building;(iii)   the electrical infrastructure of the building, where a car park is located inside the building;(b)   the residential building will have more than 10 associated parking spaces upon completion of that work;(c)   subject to paragraph (3), all the required electric vehicle charge points can be accommodated within the incoming electrical supply to the building;(d)   the cost of installing all the required electric vehicle charge points and cable routes for electric vehicle charge points does not exceed 7 of the total cost of the major renovation; and(e) the residential building is not one in relation to which paragraph (5) applies.",0,32_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,198,1178,0,1,3,2,0,0,0,0,0,1,4,6,7
"(2)  The requirements of paragraph S5 of Schedule 1 apply to such a building if(a)   the major renovation involves building work being done which includes work being done to any of the following a car park that is located within the site boundary of the building, where the nature of the work is such that it would be reasonable to expect the requirements of paragraph S5 of Schedule 1 to be fulfilled;(ii)   the electrical infrastructure of a car park, where the car park is located within the site boundary of the building;(iii)   the electrical infrastructure of the building, where a car park is located inside the building;(b)   upon completion of that major renovation, the building will have more than 10 parking spaces situated within the site boundary of the building;(c)   the cost of installing the required electric vehicle charge point and cable routes for electric vehicle charge points does not exceed 7 of the total cost of the major renovation.",0,74_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,165,961,0,1,3,2,0,0,0,0,0,1,4,4,5
"(2) In meeting the obligations in paragraph (1)(a) account must be taken of the safety of any occupant, and their reasonable enjoyment of the residence; and(b) mechanical cooling may only be used where insufficient heat is capable of being removed from the indoor environment without it.",0,74_UK_DocO_Overheating,accord_official,ACCORD Official,48,287,2,0,0,1,0,1,0,1,0,1,1,1,2
"(2) Where a person carrying out building work of the kind described in the second column of paragraph RA1 of Schedule 1 (the developer)(a)  is unable to secure the provision of a connection with a gigabit-capable public electronic communications network for a cost not exceeding the cost cap, but(b)  is able to secure the provision of a connection with a highspeed public electronic communications network for such a cost,paragraph RA2 of Schedule 1 is to be read as requiring the provision of a connection with a highspeed public electronic communications network.",0,32_UK_DocR_V1_InfrastructureForElectircalCommunications,accord_official,ACCORD Official,95,566,0,1,1,2,0,0,0,0,0,1,2,0,3
"(3)   If paragraph (2)(a) and (c) applies, but electric vehicle charge points for some but not all of the dwellings resulting from a building, or a part of a building, undergoing a material change of use can be accommodated within the incoming electrical supply to that building(a)   the requirements of paragraph S2 of Schedule 1 apply in respect of the maximum number of electric vehicle charge points that can be accommodated within the incoming electrical supply; and(b)   cable routes for electric vehicle charge points must be installed in the associated parking spaces that would Otherswise have been required under paragraph S2 of Schedule 1 to have had electric vehicle charge points installed.",0,27_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,115,703,1,1,0,2,0,1,0,0,0,1,3,1,4
"(3)   If such a mixeduse building has, or will have, within its site boundary, a covered car park(a)   if there are or will be any parking spaces situated in a position Others than in a covered car park(i)   the requirements of paragraph S6 of Schedule 1 must first be applied in relation to those parking spaces; then(ii)   if the number of parking spaces, which are situated in a position Others than in a covered car park, is insufficient to completely fulfil the requirements of paragraph S6 of Schedule 1, cable routes for electric vehicle charge points must be installed in accordance with(aa)  regulation 44D(4)(a), in relation to the associated parking spaces for one or more dwellings in a new mixeduse building;(bb)   regulation 44F(6)(a), in relation to the associated parking spaces for one or more dwellings in a mixeduse building undergoing major renovation;(cc)  regulation 44G(2)(a), in relation to the parking spaces for one or more premises that are not dwellings in a new mixeduse building;(dd)   regulation 44H(4)(a), in relation to the parking spaces for one or more premises that are not dwellings in a mixeduse building undergoing major renovation;(b)   if all the parking spaces are situated in a covered car park, cable routes for electric vehicle charge points must be installed in accordance with regulation 44D(4)(b), in relation to the associated parking spaces for one or more dwellings in a new mixeduse building;(ii)   regulation 44F(6)(b), in relation to the associated parking spaces for one or more dwellings in a mixeduse building undergoing major renovation;(iii)   regulation 44G(2)(b), in relation to the parking spaces for one or more new premises that are not dwellings in a new mixeduse building;(iv)   regulation 44H(4)(b), in relation to the parking spaces for one or more premises that are not dwellings in a mixeduse building undergoing major renovation.",0,93_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,327,1900,1,0,2,2,0,1,0,0,0,1,15,8,11
"(3)   Not later than five days after the work has been completed, the person carrying out the work must give the local authority(a)  a notice which specifies(i)   the target primary energy rate for the building calculated and expressed in accordance with the methodology approved pursuant to regulation 24;(ii)  t he calculated target primary energy rate for the building as constructed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and(iii)  whether the building has been constructed in accordance with the list of specifications referred to in paragraph (2)(c), and if not a list of any changes to those specifications; or(b)   a certificate of the sort referred to in paragraph (4) accompanied by the information referred to in subparagraph (a).",0,39_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,129,799,1,0,1,1,0,1,0,0,0,1,3,3,5
"(3)   Not later than five days after the work has been completed, the person carrying out the work must give the local authority(a)  a notice which specifies(i)   the target primary energy rate for the building calculated and expressed in accordance with the methodology approved pursuant to regulation 24;(ii)  the calculated target primary energy rate for the building as constructed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and(iii)  whether the building has been constructed in accordance with the list of specifications referred to in paragraph (2)(c), and if not a list of any changes to those specifications; or(b)   a certificate of the sort referred to in paragraph (4) accompanied by the information referred to in subparagraph (a).",0,40_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,128,798,1,0,1,1,0,1,0,0,0,1,3,3,5
"(3)   Not later than five days after the work has been completed, the person carrying out the work shall give the local authority (a)  a notice which specifies (i)   the target fabric energy efficiency rate for the dwelling, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; (ii)   the fabric energy efficiency rate for the dwelling as constructed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and (iii)  whether the dwelling has been constructed in accordance with the list of specifications referred to in paragraph (2)(c), and if not a list of any changes to those specifications; or (b)   a certificate of the sort referred to in paragraph (4) accompanied by the information referred to in subparagraph (a).",0,36_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,128,808,1,0,1,1,1,0,0,0,0,1,4,3,5
"(3)   Not later than five days after the work has been completed, the person carrying out the work shall give the local authority(a)  a notice which specifies(i)   the target CO2 emission rate for the building, calculated and expressed in accordance with the methodology approved pursuant to regulation 24,(ii)   the CO2 emission rate for the building as constructed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24, and(iii)  whether the building has been constructed in accordance with the list of specifications referred to in paragraph (2)(c), and if not a list of any changes to those specifications; or(b)   a certificate of the sort referred to in paragraph (4) accompanied by the information referred to in subparagraph (a).",0,33_UK_DocL_V1_ConsrvationOfFuelAndPower | 37_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,126,779,1,0,1,1,1,0,0,0,0,1,6,1,5
"(3)   Subject to paragraph (4), where there is a material change of use described in regulation 5(k), such work, if any, shall be carried out as is necessary to ensure that any external wall, or specified attachment, of the building only contains materials of European Classification A2s1, d0 or A1, classified in accordance with BS EN 135011:2007A1:2009 entitled Fire classification of construction products and building elements.",0,435_UK_DocM_V2_AccessAndUseOfBuildings | 441_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,69,431,1,0,1,1,1,0,0,0,0,1,8,0,5
(3)   The notice referred to in paragraph (2)(b) shall (a)   record the results and the data upon which they are based in a manner approved by the Secretary of State; and (b)   be given to the local authority not later than seven days after the final test is carried out.,0,339_UK_DocM_V2_AccessAndUseOfBuildings | 348_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,51,271,1,0,1,1,1,0,0,0,0,1,0,1,2
"(3)   Where this regulation applies the person carrying out the work shall, for the purpose of ensuring compliance with paragraph F1(2) or L1(b) of Schedule 1, give to the local authority a notice confirming that the fixed building services have been commissioned in accordance with a procedure approved by the Secretary of State.",0,175_UK_DocF_V1_Ventilation | 362_UK_DocL_V1_ConsrvationOfFuelAndPower | 363_UK_DocM_V2_AccessAndUseOfBuildings | 89_UK_DocF_V2_Ventilation,accord_official,ACCORD Official,55,330,1,0,1,2,1,0,0,0,0,1,2,0,3
(3)  It must be run on a dedicated circuit.,0,99_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,9,43,1,0,1,0,0,1,0,0,0,1,0,0,1
"(3)  The notice must be given to the local authority(a)  not later than the date on which the notice required by regulation 16(4) is required to be given; or(b)  where that regulation does not apply, not more than 30 days after completion of the work.",0,365_UK_DocL_V1_ConsrvationOfFuelAndPower | 366_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,48,251,2,0,0,0,0,1,0,0,0,1,1,1,4
(3)  The notice referred to in paragraph (2)(b) shall(a)   record the results and the data upon which they are based in a manner approved by the Secretary of State; and(b)  be given to the local authority not later than five days after the final test is carried out.,0,174_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,51,266,1,0,1,1,1,0,0,0,0,1,0,1,2
"(3)  Where the developer(a)  is unable to secure the provision of a connection with a high-speed public electronic communications network for a cost not exceeding the cost cap, but(b)  is able to secure the provision of a connection with a USOstandard public electronic communications network for such a cost,paragraph RA2 of Schedule 1 is to be read as requiring the provision of a connection with a USOstandard public electronic communications network.",0,33_UK_DocR_V1_InfrastructureForElectircalCommunications,accord_official,ACCORD Official,75,454,0,1,1,2,0,0,0,0,0,1,2,0,2
"(3) If paragraph (2)(a), (b), (d) and (e) applies, but all the required electric vehicle charge points cannot be accommodated within the incoming electrical supply to the building(a) the requirements of paragraph S3 of Schedule 1 apply only in respect of the maximum number of electric vehicle charge points that can be accommodated within the incoming electrical supply to the building; and(b) cable routes for electric vehicle charge points must be installed in all remaining associated parking spaces.",0,33_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,81,504,2,1,0,2,0,1,0,0,0,1,3,1,3
"(3) In these Regulations thermal element means a wall, floor or roof (but does not include windows, doors, roof windows or rooflights) which separates a thermally conditioned part of the building (the conditioned space) from a.  the external environment (including the ground); or in the case of floors and walls, anOthers part of the building which is i.  unconditioned; ii.",0,466_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,60,375,0,0,1,0,0,0,0,0,0,1,4,2,1
"(3) In this paragraphdistribution point means a distribution point for a gigabit-capable public electronic communications network;the relevant 2year period means the period of 2 years beginning with the earlier of the following(a) the day on which a building notice, initial notice or public bodys notice relating to work to which this paragraph applies is given;(b) the day on which full plans relating to building work to which this paragraph applies are deposited.",0,4_UK_DocR_V1_InfrastructureForElectircalCommunications,accord_official,ACCORD Official,76,467,0,0,2,1,0,0,0,0,0,1,1,2,2
(3) This paragraph applies where the planning permission  under which the building work is carried out   (a) specifies the optional requirement in paragraph (2)(b); and   (b) makes it a condition that that requirement must be  complied with.,0,65_UK_DocG_Sanitation,accord_official,ACCORD Official,38,241,1,0,2,1,0,1,0,0,0,1,0,1,2
"(4)   The notice shall be given to the local authority(a)  not later than the date on which the notice required by regulation 16(4) is required to be given; or(b)  where that regulation does not apply, not more than 30 days after completion of the work.",0,363_UK_DocL_V1_ConsrvationOfFuelAndPower | 364_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,48,253,2,0,0,0,1,0,0,0,0,1,1,1,4
(4)  It must be compatible with all vehicles which may require access to it.,0,100_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,14,76,2,0,1,0,0,1,0,1,0,1,0,0,1
"(4)  The notice shall be given to the local authority(a)  not later than the date on which the notice required by regulation 16(4) is required to be given; or(b)  where that regulation does not apply, not more than 30 days after completion of the work.",0,176_UK_DocF_V1_Ventilation | 90_UK_DocF_V2_Ventilation,accord_official,ACCORD Official,48,252,2,0,0,0,1,0,0,0,0,1,1,1,4
"(4)  Where the developer is unable to secure the provision of a connection with a USOstandard public electronic communications network for a cost not exceeding the cost cap, paragraph RA2 of Schedule 1 does not apply.",0,34_UK_DocR_V1_InfrastructureForElectircalCommunications,accord_official,ACCORD Official,36,217,0,1,0,2,0,0,0,0,0,1,1,0,2
"(4) If such a building has, or will have, within its site boundary, more than 10 parking spaces(a) if there are or will be any parking spaces situated in a position Others than in a covered car park the requirements of paragraph S5 of Schedule 1 must first be applied in relation to those parking spaces; then(ii)   if the number of parking spaces which are situated in a position Others than in a covered car park is insufficient to completely fulfil the requirements of paragraph S5 of Schedule 1, cable routes for electric vehicle charge points must be installed in the number of parking spaces in the covered car park in order to ensure compliance with the requirements of paragraph S5(b) of Schedule 1;(b)   if all the parking spaces are situated in a covered car park, cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of those parking spaces.",0,76_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,164,911,1,1,2,2,0,1,0,0,0,1,5,2,5
"(4) Water supplied for regulation 4(1)  purposes shall not be regarded as  wholesome for the purposes of Chapter  III if, on transfer from a treatment works  for supply for those purposes:  a. it contains a concentration of the  coliform bacteria or E. coli parameter  (items 1 and 2 in Part II of Table  A in Schedule 1) in excess of the  prescribed concentrations; or  b. it contains a concentration of nitrite  in excess of 0.1mgNO2.",0,245_UK_DocG_Sanitation,accord_official,ACCORD Official,77,436,2,0,2,2,1,0,0,0,0,1,1,1,7
"(5)   In this regulation, specifications means specifications used for the calculation of the CO2 emission rate.",0,34_UK_DocL_V1_ConsrvationOfFuelAndPower | 38_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,16,112,0,0,1,0,0,0,0,0,0,1,1,0,1
"(5)   In this regulation, specifications means specifications used for the calculation of the fabric energy efficiency rate.",0,37_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,17,124,0,0,1,0,0,0,0,0,0,1,1,0,1
"(5)   In this regulation, specifications means specifications used for the calculation of the target primary energy rate.",0,40_UK_DocL_V1_ConsrvationOfFuelAndPower | 41_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,17,121,0,0,1,0,0,0,0,0,0,1,1,0,1
